battVoltage,battTemp,battLevel,battLevelDiff,binderTransaction,binderReply,binderAcquire,binderRelease,binderActiveNodes,binderTotalNodes,binderActiveRef,binderTotalRef,binderActiveDeath,binderTotalDeath,binderActiveTransaction,binderTotalTransaction,binderActiveTransactionComplete,binderTotalTransactionComplete,binderTotalNodesDiff,binderTotalRefDiff,binderTotalDeathDiff,binderTotalTransactionDiff,binderTotalTransactionCompleteDiff,cpuUsage,memActive,memInactive,memMapped,memFreePages,memAnonPages,memFilePages,memDirtyPages,memWritebackPages,networkTotalTXPackets,networkTotalTXBytes,networkTotalRXPackets,networkTotalRXBytes,networkTotalTXPacketsDiff,networkTotalTXBytesDiff,networkTotalRXPacketsDiff,networkTotalRXBytesDiff,permissions,class
4177,340,97,0,195711,152977,14224,9743,767,10880,1213,14225,199,5069,12,348682,0,0,30,33,3,770,0,69.308945,231336,20572,93296,1002,50332,12737,7,0,6845,788499,9794,11141305,109,18905,112,132590,113,-1
4181,340,98,1,196086,153239,14235,9752,769,10890,1215,14236,198,5076,12,349319,0,0,10,11,7,637,0,56.626507,231028,21220,92260,1137,50280,12866,1,0,6860,789418,9808,11141902,15,919,14,597,113,-1
4181,340,98,0,196490,153525,14249,9764,771,10902,1217,14250,198,5078,12,350009,0,0,12,14,2,690,0,63.834423,230380,21916,93192,942,50585,12608,1,0,6874,791162,9821,11158201,14,1744,13,16299,113,-1
4181,340,98,0,196813,153739,14257,9770,764,10908,1196,14258,192,5078,12,350545,0,0,6,8,0,536,0,40.447155,214548,21248,88396,6697,46422,12610,1,0,6878,791418,9825,11158385,4,256,4,184,111,-1
4181,340,98,0,197368,154108,14280,9806,753,10928,1184,14281,192,5081,12,351469,0,0,20,23,3,924,0,51.10294,217616,21312,83520,5239,47359,12629,1,0,6878,791418,9825,11158385,0,0,0,0,111,-1
4181,340,98,0,197793,154397,14326,9821,769,10956,1215,14327,197,5086,12,352183,0,0,28,46,5,714,0,77.196655,229400,21524,91100,1420,50303,12690,46,0,7063,820527,10031,11405676,185,29109,206,247291,113,-1
4181,340,98,0,198313,154766,14350,9839,773,10978,1221,14351,198,5087,12,353072,0,0,22,24,1,889,0,79.229118,230080,21932,91360,1270,50288,12798,1,0,7069,820875,10037,11405916,6,348,6,240,113,-1
4181,340,98,0,198821,155106,14366,9857,774,10993,1221,14367,197,5088,12,353920,0,0,15,16,1,848,0,59.879032,229972,22084,91288,1255,50260,12838,12,0,7087,822832,10055,11422411,18,1957,18,16495,113,-1
4181,340,98,0,199272,155418,14378,9874,769,11004,1215,14379,197,5089,14,354683,0,0,11,12,1,763,0,66.73307,230088,22092,95580,1225,50323,12840,2,0,7088,822890,10056,11422451,1,58,1,40,113,-1
4181,340,98,0,199685,155719,14400,9892,771,11025,1218,14401,198,5090,12,355397,0,0,21,22,1,714,0,50.503017,229296,22092,91512,1345,50092,12840,1,0,7089,822948,10057,11422491,1,58,1,40,113,-1
4181,340,98,0,200388,156213,14431,9917,776,11054,1224,14432,199,5092,12,356594,0,0,29,31,2,1197,0,70.238098,229548,22100,91648,1270,50154,12841,1,0,7089,822948,10057,11422491,0,0,0,0,113,-1
4181,340,98,0,200804,156521,14449,9936,769,11071,1201,14451,192,5093,12,357318,0,0,17,19,1,724,0,50.921658,213300,22184,84588,6172,46311,12643,1,0,7090,823018,10057,11422491,1,70,0,0,111,-1
4166,310,98,0,11556,10217,3365,1859,580,2542,968,3368,181,1832,0,21773,0,0,824,829,818,3403,0,99.053032,211400,56632,91192,623,38985,28210,6,0,237,24227,369,241542,3,996,3,671,111,-1
4166,310,98,0,12669,11140,3604,1977,693,2760,1091,3607,188,2015,0,23809,0,0,218,239,183,2036,0,100,217892,52644,97992,674,41496,26210,100,0,429,51427,579,485694,192,27200,210,244152,113,-1
4166,310,98,0,13604,11932,3778,2200,633,2928,1018,3781,183,2163,1,25535,0,0,168,174,148,1726,0,99.527184,205224,49340,94972,5606,38256,25468,17,0,471,55167,610,506582,42,3740,31,20888,111,-1
4166,310,98,0,14899,13129,4294,2707,634,3442,1004,4297,179,2661,0,28027,0,0,514,516,498,2492,0,94.409935,202980,50796,94380,5880,37526,26001,21,0,471,55167,610,506582,0,0,0,0,111,-1
4166,310,98,0,14996,13194,4294,2707,634,3442,1004,4297,178,2661,1,28189,2,0,0,0,0,162,0,28.282827,202612,51012,94228,5970,37434,26055,15,0,471,55167,610,506582,0,0,0,0,111,-1
4166,310,98,0,15396,13459,4303,2712,638,3451,1008,4306,179,2662,0,28854,0,0,9,9,1,665,0,44.134079,206624,51040,89732,2218,39367,26063,12,0,471,55167,610,506582,0,0,0,0,111,-1
4166,310,98,0,15828,13740,4346,2724,657,3476,1041,4349,184,2669,0,29567,0,0,25,43,7,713,0,58.531746,214116,51104,96460,619,40667,25722,22,1,648,79674,791,720055,177,24507,181,213473,113,-1
4166,310,98,0,16391,14102,4368,2772,628,3492,1014,4371,185,2678,0,30492,0,0,16,22,9,925,0,69.273743,215156,49592,98668,927,41512,24766,1,0,684,86754,831,766121,36,7080,40,46066,113,-1
4183,310,98,0,16574,14243,4372,2774,630,3496,1016,4375,184,2680,0,30816,0,0,4,4,2,324,0,37.250996,214356,49652,98668,1351,41018,24782,2,0,698,87578,844,766641,14,824,13,520,113,-1
4183,310,98,0,16946,14488,4387,2783,627,3507,1000,4390,180,2683,0,31433,0,0,11,15,3,617,0,43.149284,206880,41992,94268,6639,37477,24835,2,0,702,87858,847,766797,4,280,3,156,111,-1
4183,310,98,0,17438,14824,4441,2817,632,3541,1020,4444,186,2690,0,32261,0,0,34,54,7,828,0,53.557312,216204,42000,96188,2941,39797,24849,25,0,750,96562,886,792657,48,8704,39,25860,113,-1
4183,310,98,0,18138,15303,4479,2842,644,3575,1033,4482,187,2693,0,33440,0,0,34,38,3,1179,0,78.762886,220664,43828,97380,1463,41469,24741,10,0,908,118386,1067,1029350,158,21824,181,236693,113,-1
4183,310,98,0,18563,15596,4491,2854,636,3584,1010,4494,180,2694,0,34157,0,0,9,12,1,717,0,45.180721,205440,43348,94292,6770,37541,24742,1,0,925,119408,1083,1030014,17,1022,16,664,111,-1
4183,310,98,0,18876,15791,4497,2873,626,3589,998,4500,179,2695,0,34665,0,0,5,6,1,508,0,39.436619,205508,43348,94292,6768,37561,24742,1,0,925,119408,1083,1030014,0,0,0,0,111,-1
4183,310,98,0,19116,15950,4506,2880,628,3597,1000,4509,179,2697,0,35064,0,0,8,9,2,399,0,37.67535,205140,43348,94324,6828,37464,24742,1,0,925,119408,1083,1030014,0,0,0,0,111,-1
4183,310,98,0,19663,16287,4560,2896,650,3632,1038,4563,186,2705,1,35948,0,0,35,54,8,884,0,53.75494,215016,43352,95964,3085,39907,24744,17,0,960,125753,1111,1039025,35,6345,28,9011,113,-1
4183,310,98,0,20182,16630,4589,2919,655,3657,1044,4592,186,2708,0,36810,0,0,25,29,3,862,0,63.713081,219328,43928,98064,1521,41003,24896,24,0,1076,151389,1214,1121853,116,25636,103,82828,113,-1
4183,310,98,0,20445,16806,4593,2934,647,3660,1034,4596,185,2708,0,37249,0,0,3,4,0,439,0,46.68008,218996,43932,96748,1941,40920,24898,1,0,1084,151937,1221,1122205,8,548,7,352,113,-1
4181,310,98,0,20974,17167,4613,2948,651,3677,1039,4616,186,2711,0,38139,0,0,17,20,3,890,0,72.233398,221180,44468,98524,606,42113,24696,73,0,1295,183493,1430,1370064,211,31556,209,247859,113,-1
4181,310,98,0,21350,17409,4621,2954,644,3683,1018,4624,180,2711,0,38756,0,0,6,8,0,617,0,52.63158,197288,46440,92396,8367,37548,23475,6,0,1319,186915,1444,1371560,24,3422,14,1496,111,-1
4181,310,98,0,21817,17721,4641,2968,649,3700,1024,4644,181,2714,0,39535,0,0,17,20,3,779,0,40,197480,46448,93956,8219,37593,23477,11,0,1319,186915,1444,1371560,0,0,0,0,111,-1
4181,310,98,0,22284,18033,4688,3000,651,3729,1040,4691,185,2719,0,40314,0,0,29,47,5,779,0,72.580643,211956,46732,96356,3154,41200,23555,100,0,1531,217739,1665,1639344,212,30824,221,267784,113,-1
4181,310,98,0,22806,18391,4711,3018,656,3749,1045,4714,186,2720,0,41194,0,0,20,23,1,880,0,78.542511,214116,46740,96632,2509,41738,23559,31,0,1542,218413,1676,1641793,11,674,11,2449,113,-1
4181,310,98,0,23303,18729,4735,3044,657,3772,1045,4738,185,2721,0,42029,0,0,23,24,1,835,0,57.171314,213936,46748,96548,2614,41694,23562,19,0,1585,226601,1715,1654180,43,8188,39,12387,113,-1
4181,310,98,0,23670,18980,4747,3055,657,3783,1045,4750,185,2722,0,42647,0,0,11,12,1,618,0,63.052208,215696,49172,97300,1530,42179,24180,57,0,1698,236951,1826,1796863,113,10350,111,142683,113,-1
4181,310,98,0,23952,19194,4750,3059,657,3786,1044,4753,185,2723,0,43143,0,0,3,3,1,496,0,42.2449,215960,49280,101624,1470,42198,24197,15,0,1698,236951,1826,1796863,0,0,0,0,113,-1
4181,310,98,0,24412,19544,4778,3085,659,3814,1046,4781,185,2724,0,43953,0,0,28,28,1,810,0,53.107346,213240,42376,90928,4724,42781,21219,7,0,1702,237789,1828,1797025,4,838,2,162,113,-1
4181,310,98,0,24856,19873,4798,3106,656,3832,1044,4801,186,2726,0,44726,0,0,18,20,2,773,0,70.758926,215692,43508,93252,3374,43381,21516,12,0,2228,297285,2344,2337119,526,59496,516,540094,113,-1
4180,320,98,0,45255,33059,5453,3726,611,4353,981,5454,177,2801,0,78314,0,0,7,22,2,159,0,41.603054,207904,48280,91704,2991,38208,25946,18,0,552,71675,743,524203,2,140,0,0,117,-1
4180,320,98,0,45738,33374,5494,3742,628,4381,1007,5495,182,2808,0,79112,0,0,28,41,7,798,0,45.594715,206592,48284,87660,3293,37855,25949,17,0,554,71815,743,524203,2,140,0,0,117,-1
4180,320,98,0,46188,33738,5500,3751,626,4386,1005,5501,181,2808,0,79926,0,0,5,6,0,814,0,38.945232,207260,48524,87748,3085,38043,26008,9,0,554,71815,743,524203,0,0,0,0,117,-1
4180,320,98,0,46371,33859,5507,3757,627,4393,1006,5508,181,2809,0,80230,0,0,7,7,1,304,0,32.719837,207212,48524,87748,3055,38010,26008,12,0,554,71815,743,524203,0,0,0,0,117,-1
4187,290,99,0,99138,68427,8337,6090,687,6627,1034,8340,175,3142,2,167559,0,0,17,35,5,217,0,42.799999,213308,35728,70972,6302,38089,24381,22,0,4129,567343,4039,3945343,4,299,2,223,112,-1
4187,290,99,0,99787,68849,8381,6120,695,6661,1049,8384,178,3147,2,168630,0,0,34,44,5,1071,0,64.457832,230192,35740,72536,1343,42206,24385,19,0,4139,569072,4047,3946528,10,1729,8,1185,112,-1
4187,290,99,0,100569,69389,8412,6148,700,6688,1053,8415,180,3151,2,169952,0,0,27,31,4,1322,0,60.121456,231508,37608,72116,966,43629,23739,8,0,4145,570138,4051,3947016,6,1066,4,488,112,-1
4185,290,99,0,100704,69463,8412,6148,700,6688,1053,8415,179,3151,2,170161,0,0,0,0,0,209,0,39.300411,231504,37604,72116,966,43622,23741,8,0,4145,570138,4051,3947016,0,0,0,0,112,-1
4185,290,99,0,100795,69519,8412,6148,700,6688,1053,8415,179,3151,2,170308,0,0,0,0,0,147,0,36.758892,231540,37612,72196,1056,43540,23741,1,0,4145,570138,4052,3947044,0,0,1,28,112,-1
4185,290,99,0,100961,69618,8412,6148,700,6688,1053,8415,179,3151,2,170573,0,0,0,0,0,265,0,37.678207,231228,37612,72120,1041,43561,23741,1,0,4146,570208,4052,3947044,1,70,0,0,112,-1
4185,290,99,0,101223,69792,8425,6165,696,6699,1049,8428,181,3154,2,171009,0,0,11,13,3,436,0,44.37751,231136,37612,72340,1009,43532,23741,1,0,4147,570254,4053,3947072,1,46,1,28,112,-1
4185,290,99,0,101764,70121,8452,6201,690,6723,1040,8455,181,3159,2,171879,0,0,24,27,5,870,0,48.865978,227756,38796,72264,1787,43133,23596,22,0,4153,571321,4057,3947560,6,1067,4,488,112,-1
4185,290,99,0,102199,70429,8464,6211,693,6733,1043,8467,180,3161,2,172622,0,0,10,12,2,743,0,52.581261,230484,39900,72836,917,44411,23268,0,0,4153,571321,4057,3947560,0,0,0,0,112,-1
4185,290,99,0,102707,70776,8483,6227,696,6750,1046,8486,181,3164,2,173477,0,0,17,19,3,855,0,56.455143,229832,40056,72784,1157,44391,23173,4,0,4153,571321,4061,3948272,0,0,4,712,112,-1
4185,290,99,0,103086,71036,8499,6252,686,6764,1036,8502,181,3166,2,174116,0,0,14,16,2,639,0,44.135189,229772,40056,72784,1187,44367,23173,2,0,4153,571321,4061,3948272,0,0,0,0,112,-1
4185,290,99,0,103834,71532,8542,6288,693,6803,1043,8545,183,3170,2,175360,0,0,39,43,4,1244,0,58.93224,230000,41116,72784,1122,45363,22500,2,0,4159,572388,4065,3948760,6,1067,4,488,112,-1
4185,290,99,0,104253,71809,8560,6305,692,6819,1043,8563,185,3173,2,176056,0,0,16,18,3,696,0,54.508198,231496,40844,72884,870,46092,22076,1,0,4159,572388,4065,3948760,0,0,0,0,112,-1
4186,290,99,0,104476,71945,8562,6310,691,6821,1041,8565,183,3173,2,176415,0,0,2,2,0,359,0,39.121758,231572,40844,72448,960,46112,22077,2,0,4159,572388,4065,3948760,0,0,0,0,112,-1
4186,290,99,0,104658,72063,8569,6315,693,6827,1043,8572,183,3175,2,176715,0,0,6,7,2,300,0,41.129032,232260,40844,72444,765,46284,22076,2,0,4159,572388,4065,3948760,0,0,0,0,112,-1
4186,290,99,0,105206,72383,8600,6345,694,6854,1044,8603,186,3180,2,177583,0,0,27,31,5,868,0,54.84536,236572,37584,68852,1775,47617,21011,0,0,4165,573455,4069,3949248,6,1067,4,488,112,-1
4186,290,99,0,105616,72635,8620,6459,602,6872,949,8623,187,3183,2,178245,0,0,18,20,3,662,0,49.290062,235928,37852,71972,1205,47447,21093,6,0,4171,574522,4073,3949736,6,1067,4,488,112,-1
4186,290,99,0,105983,72882,8662,6468,601,6896,948,8665,177,3190,2,178859,0,0,24,42,7,614,0,56.032719,203300,39276,70492,9188,39467,21260,35,0,4171,574522,4073,3949736,0,0,0,0,112,-1
4186,290,99,0,106155,73009,8672,6471,606,6904,954,8675,177,3192,3,179158,0,0,8,10,2,299,0,70.718231,214896,39896,70740,6051,42392,21457,209,0,4171,574522,4073,3949736,0,0,0,0,112,-1
4186,290,99,0,106592,73308,8701,6491,617,6930,964,8704,176,3197,2,179894,0,0,26,29,5,736,0,62.445415,219756,39740,70300,4986,43363,21595,230,0,4171,574522,4073,3949736,0,0,0,0,112,-1
4186,290,99,0,106937,73506,8716,6500,621,6943,969,8719,177,3200,2,180437,0,0,13,15,3,543,0,50,213080,39740,70516,6604,41694,21594,10,0,4171,574522,4073,3949736,0,0,0,0,112,-1
4186,290,99,0,107175,73665,8722,6528,601,6948,948,8725,175,3201,2,180834,0,0,5,6,1,397,0,47.686115,213092,39748,70340,6649,41696,21597,5,0,4171,574522,4073,3949736,0,0,0,0,112,-1
4186,290,99,0,107325,73757,8722,6528,601,6948,948,8725,175,3201,2,181076,0,0,0,0,0,242,0,38.076153,212652,39748,70300,6784,41586,21597,4,0,4171,574522,4073,3949736,0,0,0,0,112,-1
4188,290,99,0,107560,73898,8729,6533,603,6954,950,8732,176,3203,2,181452,0,0,6,7,2,376,0,38.18182,212764,39748,70296,6741,41616,21596,3,0,4171,574522,4073,3949736,0,0,0,0,112,-1
4188,290,99,0,107756,74027,8736,6538,605,6960,952,8739,176,3205,2,181777,0,0,6,7,2,325,0,45,212552,39748,70300,6786,41603,21597,1,0,4171,574522,4073,3949736,0,0,0,0,112,-1
4188,290,99,0,107880,74107,8736,6538,605,6960,952,8739,175,3205,2,181981,0,0,0,0,0,204,0,36.161617,212460,39744,70292,6816,41539,21597,2,0,4171,574522,4073,3949736,0,0,0,0,112,-1
4188,290,99,0,108145,74271,8743,6543,607,6966,954,8746,175,3207,2,182410,0,0,6,7,2,429,0,38.799999,212612,39744,70288,6801,41582,21596,2,0,4171,574522,4073,3949736,0,0,0,0,112,-1
4188,290,99,0,108659,74619,8767,6559,613,6985,962,8770,178,3212,2,183272,0,0,19,24,5,862,0,63.083164,215572,39836,70520,6006,42311,21624,1,0,4182,576331,4081,3950922,11,1809,8,1186,112,-1
4187,290,99,0,120919,83259,9404,7031,645,7476,980,9407,181,3283,6,204172,1,0,32,52,13,293,0,46.138615,206900,39352,68524,7073,37100,24680,20,0,5890,713003,6818,7986302,1,70,0,0,114,-1
4187,290,99,0,121321,83526,9433,7052,647,7495,989,9436,183,3287,3,204841,0,0,19,29,4,669,0,44.979919,207164,39356,69976,6715,37031,24682,18,0,5891,713073,6818,7986302,1,70,0,0,150,-1
4187,290,99,0,121683,83813,9436,7058,647,7498,987,9439,181,3287,3,205490,0,0,3,3,0,649,0,39.29314,207344,39364,69976,6685,37110,24684,7,0,5891,713073,6818,7986302,0,0,0,0,150,-1
4187,290,99,0,121836,83901,9436,7058,647,7498,987,9439,181,3287,3,205731,0,0,0,0,0,241,0,33.200001,206600,39364,70020,6882,36890,24684,2,0,5896,713729,6822,7986632,5,656,4,330,150,-1
4187,290,99,0,122065,84054,9436,7058,647,7498,987,9439,181,3287,3,206113,0,0,0,0,0,382,0,36.734695,206608,39372,74368,6867,36893,24686,2,0,5897,713799,6822,7986632,1,70,0,0,150,-1
4187,290,99,0,122326,84231,9442,7062,649,7504,989,9445,182,3288,3,206551,0,0,6,6,1,438,0,38.64542,206500,39372,69952,6867,36870,24686,1,0,5897,713799,6822,7986632,0,0,0,0,150,-1
4187,290,99,0,122649,84427,9455,7076,648,7515,988,9458,182,3291,3,207070,0,0,11,13,3,519,0,44.93927,206372,39372,69952,6910,36840,24686,1,0,5897,713799,6822,7986632,0,0,0,0,150,-1
4187,290,99,0,123018,84662,9475,7090,652,7532,993,9478,183,3294,3,207674,0,0,17,20,3,604,0,44.710579,206416,39372,69952,6895,36844,24686,1,0,5897,713799,6822,7986632,0,0,0,0,150,-1
4187,290,99,0,123172,84776,9475,7093,651,7532,991,9478,181,3294,3,207942,0,0,0,0,0,268,0,35.959595,206312,39372,69952,6895,36828,24686,1,0,5897,713799,6822,7986632,0,0,0,0,150,-1
4187,290,99,0,123410,84930,9488,7100,655,7543,996,9491,183,3297,3,208334,0,0,11,13,3,392,0,39.307537,206252,39372,69952,6910,36803,24686,2,0,5897,713799,6822,7986632,0,0,0,0,150,-1
4187,290,99,0,123686,85111,9496,7110,655,7550,995,9499,182,3298,3,208791,0,0,7,8,1,457,0,43.313374,206264,39372,70024,6910,36816,24686,2,0,5898,713869,6822,7986632,1,70,0,0,150,-1
4187,290,99,0,124051,85336,9508,7120,657,7560,997,9511,182,3300,3,209381,0,0,10,12,2,590,0,41.247486,206364,39372,70024,6910,36834,24686,1,0,5899,713915,6823,7986660,1,46,1,28,150,-1
4187,290,99,0,124266,85463,9515,7122,660,7566,1001,9518,183,3302,3,209723,0,0,6,7,2,342,0,32.329319,206412,39376,70024,6895,36850,24687,1,0,5899,713915,6823,7986660,0,0,0,0,150,-1
4187,290,99,0,124548,85648,9522,7143,647,7572,988,9525,183,3304,3,210190,0,0,6,7,2,467,0,39.156628,206412,39376,70024,6880,36845,24687,1,0,5899,713915,6823,7986660,0,0,0,0,150,-1
4185,290,99,0,124747,85761,9529,7146,650,7578,991,9532,183,3306,3,210502,0,0,6,7,2,312,0,36.491936,206092,39376,70024,6955,36800,24687,1,0,5899,713915,6823,7986660,0,0,0,0,150,-1
4185,290,99,0,124909,85862,9531,7151,649,7580,989,9534,181,3306,3,210765,0,0,2,2,0,263,0,36.254978,206244,39376,70024,6910,36801,24687,2,0,5899,713915,6823,7986660,0,0,0,0,150,-1
4185,290,99,0,125130,85997,9538,7156,651,7586,991,9541,181,3308,3,211121,0,0,6,7,2,356,0,34.6856,206264,39376,70024,6925,36807,24687,2,0,5899,713915,6824,7986688,0,0,1,28,150,-1
