,Option_type,Ask,Bid,Option_price,Stock_price,Strike_price,Volatility,Volume,Time_to_maturity,Implied_volatility
35,1,3.7,0.15,1.0,65.64,35.0,0.398956914,10,0.654794521,0.71509074
36,1,5.3,3.5,4.2,66.57,60.0,0.397493749,11,0.660273973,0.384771777
37,1,0.2,0.05,0.22,104.48,92.5,0.159491622,2,0.090410959,0.26074958
38,1,0.9,0.65,1.2,100.16,95.0,0.223123107,1,0.128767123,0.331305515
39,1,0.45,0.25,0.7,102.33,97.5,0.151759214,10,0.098630137,0.211433667
40,1,1.6,1.45,1.9,101.3,100.0,0.15788875,10,0.104109589,0.275642009
42,1,0.55,0.3,0.57,100.16,80.0,0.180884309,5,0.28219178100000003,0.372809006
43,1,0.6,0.4,0.53,101.3,85.0,0.191453714,7,0.257534247,0.311286184
44,1,0.75,0.5,0.8,101.73,90.0,0.191543027,5,0.254794521,0.259650958
45,1,1.55,1.05,1.91,98.99,92.5,0.183981343,5,0.273972603,0.290412369
46,1,2.4,1.95,6.2,100.16,95.0,0.180884309,10,0.28219178100000003,0.30506066
47,1,3.2,2.7,4.82,100.16,97.5,0.180884309,3,0.28219178100000003,0.305182729
48,1,2.55,2.05,2.95,102.33,100.0,0.191854689,30,0.252054795,0.22034471100000005
51,1,3.3,2.9,3.9,101.68,95.0,0.198441403,4,0.5123287670000001,0.252815089
52,1,4.8,4.4,4.24,100.16,97.5,0.193087147,2,0.531506849,0.276252355
54,1,0.2,0.1,0.11,16.1,13.0,0.547892754,5,0.095890411,0.6718782809999999
55,1,0.35,0.2,0.33,16.4,14.0,0.5451692810000001,5,0.090410959,0.6347692770000001
56,1,0.45,0.3,0.6,16.65,15.0,0.5784242510000001,20,0.08493150699999999,0.529301582
57,1,0.8,0.55,0.6,16.65,16.0,0.5784242510000001,15,0.08493150699999999,0.500981553
62,1,0.15,0.0,0.15,17.8,11.0,0.529101421,1,0.205479452,0.628909961
63,1,0.35,0.2,0.41,17.45,13.0,0.559076264,2,0.18630137,0.591800957
64,1,0.55,0.35,0.5,17.45,14.0,0.559076264,9,0.18630137,0.56445748
65,1,0.75,0.55,0.75,17.45,15.0,0.559076264,19,0.189041096,0.514653291
66,1,1.25,1.05,1.05,16.65,16.0,0.612492997,38,0.161643836,0.5507857420000001
67,1,1.95,1.7,1.5,17.35,17.0,0.565804352,5,0.175342466,0.605472695
70,1,1.0,0.6,0.9,17.45,14.0,0.492912499,7,0.35890411,0.518071226
71,1,1.2,0.95,1.25,17.45,15.0,0.492912499,7,0.35890411,0.524418818
72,1,1.9,1.65,1.5,16.1,16.0,0.491393767,37,0.345205479,0.5537154000000001
78,1,0.4,0.2,0.35,17.45,10.0,0.818914693,1,0.435616438,0.6582065429999999
79,1,1.1,0.55,0.75,17.8,13.0,0.803660598,100,0.454794521,0.5795940479999999
80,1,1.1,0.75,0.8,17.8,14.0,0.803660598,75,0.454794521,0.50537604
81,1,1.65,1.1,1.6,16.25,15.0,0.8076618459999999,1,0.443835616,0.519536055
82,1,2.05,1.75,1.8,16.65,16.0,0.485274497,200,0.410958904,0.530278135
83,1,2.25,1.85,1.94,17.8,17.0,0.803660598,10,0.454794521,0.481450498
89,1,1.75,1.35,1.44,16.65,14.0,0.736708864,10,0.660273973,0.541996768
90,1,2.0,1.8,1.85,16.65,15.0,0.736708864,250,0.660273973,0.518559502
91,1,2.6,2.25,2.2,16.65,16.0,0.736708864,50,0.660273973,0.520268469
92,1,0.15,0.0,0.33,152.26,85.0,0.192348266,2,0.128767123,0.859376406
93,1,0.15,0.0,0.05,152.26,100.0,0.192348266,2,0.128767123,0.648441016
94,1,0.15,0.0,0.15,152.26,110.0,0.192348266,25,0.128767123,0.525395371
95,1,0.15,0.0,0.4,152.26,115.0,0.192348266,4,0.128767123,0.513676738
96,1,1.25,0.0,0.11,155.35,120.0,0.19474839,4,0.120547945,0.588871299
97,1,0.4,0.15,0.39,151.58,125.0,0.261849331,2,0.093150685,0.468755313
98,1,0.35,0.2,0.25,156.66,130.0,0.2686795,45,0.08493150699999999,0.39111937
99,1,0.55,0.35,0.35,156.66,135.0,0.2686795,25,0.08493150699999999,0.362555203
100,1,0.9,0.65,0.78,156.66,140.0,0.2686795,273,0.08493150699999999,0.337164832
101,1,1.5,1.25,1.35,156.66,145.0,0.2686795,36,0.08493150699999999,0.314704119
102,1,4.3,4.0,4.2,156.66,155.0,0.2686795,1399,0.08493150699999999,0.289069609
106,1,0.5,0.15,0.2,156.66,105.0,0.235376923,30,0.161643836,0.53223124
107,1,1.55,0.25,0.55,156.66,110.0,0.235376923,4,0.161643836,0.586674055
108,1,4.4,3.8,4.3,156.66,145.0,0.235376923,7,0.161643836,0.381353843
109,1,8.0,7.2,7.8,156.66,155.0,0.235376923,1,0.161643836,0.362188995
110,1,0.05,0.0,0.05,151.05,45.0,0.203441653,40,0.252054795,0.8984385159999999
111,1,0.1,0.0,0.25,152.26,50.0,0.194855954,22,0.28219178100000003,0.8867198829999999
112,1,0.15,0.0,0.4,152.26,55.0,0.194855954,10,0.28219178100000003,0.855470195
113,1,0.1,0.0,1.1,152.26,60.0,0.194855954,7,0.28219178100000003,0.7539087109999999
114,1,0.2,0.0,1.44,152.26,70.0,0.194855954,1,0.28219178100000003,0.691409336
115,1,0.15,0.0,0.4,152.26,75.0,0.194855954,10,0.28219178100000003,0.615238223
116,1,0.15,0.0,0.37,152.26,80.0,0.194855954,7,0.28219178100000003,0.566410586
117,1,0.25,0.05,0.35,152.26,85.0,0.194855954,2,0.28219178100000003,0.567387139
118,1,0.2,0.05,0.15,156.66,90.0,0.208025247,1,0.238356164,0.506840869
119,1,0.25,0.15,0.4,152.26,95.0,0.194855954,3,0.28219178100000003,0.511235356
120,1,0.35,0.2,0.35,152.26,100.0,0.194855954,1,0.28219178100000003,0.491704302
121,1,0.5,0.35,0.5,152.26,105.0,0.194855954,2,0.28219178100000003,0.475347043
122,1,0.85,0.6,0.7,151.78,110.0,0.203286979,10,0.254794521,0.47852084
123,1,0.95,0.75,1.45,152.26,115.0,0.194855954,5,0.28219178100000003,0.44092356
124,1,1.85,1.25,1.41,151.78,120.0,0.203286979,5,0.254794521,0.469487727
125,1,2.15,1.75,2.5,151.23,125.0,0.203216352,2,0.249315068,0.436407003
126,1,3.4,2.75,2.5,149.46,130.0,0.207159354,1,0.265753425,0.452092881
127,1,3.1,2.7,3.3,156.66,135.0,0.208025247,25,0.238356164,0.378790392
128,1,4.1,3.7,3.7,156.66,140.0,0.208025247,42,0.238356164,0.365484861
129,1,7.3,6.3,6.36,151.58,145.0,0.202449449,2,0.246575342,0.424810439
130,1,7.2,6.6,6.7,156.66,150.0,0.208025247,2,0.238356164,0.349371741
131,1,9.2,8.6,8.6,156.66,155.0,0.208025247,2,0.238356164,0.339484144
136,1,0.55,0.2,0.3,156.66,75.0,0.372635052,30,0.487671233,0.536625728
137,1,0.55,0.35,0.37,156.05,80.0,0.360347335,4,0.520547945,0.509770527
138,1,0.8,0.3,1.2,152.26,85.0,0.357992575,10,0.531506849,0.52148916
139,1,0.9,0.6,0.8,156.66,90.0,0.372635052,5,0.487671233,0.4909718870000001
140,1,1.0,0.65,1.7,152.26,95.0,0.357992575,10,0.531506849,0.460210476
141,1,1.7,1.35,2.5,152.26,105.0,0.357992575,2,0.531506849,0.43555252
142,1,2.15,1.75,2.9,152.26,110.0,0.357992575,8,0.531506849,0.422124919
143,1,2.7,2.35,3.2,152.26,115.0,0.357992575,2,0.531506849,0.40924663
144,1,3.6,3.0,3.6,156.66,120.0,0.372635052,770,0.487671233,0.406622145
145,1,5.2,4.8,4.2,149.46,125.0,0.369649603,1,0.515068493,0.421819747
146,1,5.6,5.1,6.6,152.26,130.0,0.357992575,1,0.531506849,0.388800057
147,1,8.3,7.5,5.82,155.35,135.0,0.360534057,20,0.5232876710000001,0.421270436
148,1,10.1,9.2,7.25,155.35,140.0,0.360534057,10,0.5232876710000001,0.418401812
149,1,12.2,11.2,13.46,149.76,145.0,0.367271799,1,0.506849315,0.417547328
150,1,11.9,10.9,11.34,156.66,150.0,0.372635052,1,0.487671233,0.35385778
155,1,0.25,0.1,0.15,156.66,60.0,0.364317426,50,0.583561644,0.5566450589999999
156,1,0.55,0.3,0.4,151.58,70.0,0.358659555,1,0.589041096,0.540531938
157,1,0.7,0.25,1.0,152.26,75.0,0.34472124,3,0.62739726,0.507817422
158,1,1.1,0.5,0.42,155.35,80.0,0.347400036,4,0.619178082,0.514897429
159,1,0.9,0.65,0.81,156.66,85.0,0.364317426,5,0.583561644,0.485356709
160,1,1.2,0.85,0.99,156.66,90.0,0.364317426,10,0.583561644,0.47449256
161,1,1.25,0.9,1.5,152.26,95.0,0.34472124,1,0.62739726,0.439214592
162,1,2.1,1.7,2.0,149.76,100.0,0.35834261100000003,10,0.602739726,0.458135302
163,1,2.4,2.0,1.78,157.27,105.0,0.34850906299999995,10,0.61369863,0.434453898
164,1,3.2,2.75,2.72,151.78,110.0,0.356944607,2,0.6,0.432317689
165,1,3.2,2.85,4.0,152.26,115.0,0.34472124,1,0.62739726,0.39179075
166,1,5.0,4.3,4.6,149.76,120.0,0.35834261100000003,3,0.602739726,0.417425259
167,1,5.2,4.5,5.0,156.66,125.0,0.364317426,1,0.583561644,0.381170739
168,1,7.5,6.8,8.37,149.76,130.0,0.35834261100000003,2,0.602739726,0.404760591
169,1,8.8,8.0,8.4,151.78,135.0,0.356944607,291,0.6,0.392767303
170,1,10.7,10.0,8.76,154.33,140.0,0.34738853299999994,1,0.621917808,0.391302474
171,1,13.0,12.1,13.0,149.76,145.0,0.35834261100000003,1,0.602739726,0.39380489
172,1,15.1,13.7,14.0,151.05,150.0,0.357118823,10,0.597260274,0.3867554
173,1,15.2,14.1,14.65,156.66,155.0,0.364317426,1,0.583561644,0.332892413
177,1,2.15,0.7,1.3,152.26,65.0,0.3927257320000001,10,1.624657534,0.492436716
178,1,3.0,1.05,1.91,152.26,70.0,0.3927257320000001,2,1.624657534,0.49731948
179,1,2.8,1.95,2.25,151.78,75.0,0.380717648,5,1.597260274,0.452153916
180,1,2.85,1.45,2.7,156.66,80.0,0.380902851,5,1.580821918,0.42066009
181,1,3.7,3.1,3.4,151.78,85.0,0.380717648,5,1.597260274,0.41998871
182,1,5.9,3.6,4.2,149.46,95.0,0.393037463,1,1.608219178,0.4203244
183,1,7.6,5.5,7.0,149.76,100.0,0.381098904,5,1.6,0.428960789
184,1,8.1,5.6,6.2,154.33,105.0,0.392498983,2,1.619178082,0.406957835
185,1,8.8,7.2,10.5,152.26,110.0,0.3927257320000001,1,1.624657534,0.389074713
186,1,10.6,8.3,15.88,152.26,115.0,0.3927257320000001,1,1.624657534,0.391302474
187,1,11.8,9.9,11.31,152.26,120.0,0.3927257320000001,1,1.624657534,0.379950048
188,1,13.9,11.7,12.46,151.05,125.0,0.380752669,2,1.5945205480000002,0.382025223
189,1,16.1,14.3,13.27,154.33,130.0,0.392498983,1,1.619178082,0.382879706
190,1,17.4,15.2,17.7,151.23,135.0,0.380232931,4,1.5917808219999998,0.368048312
191,1,19.8,16.5,22.36,152.26,140.0,0.3927257320000001,1,1.624657534,0.367788915
192,1,21.9,19.2,22.22,152.26,145.0,0.3927257320000001,1,1.624657534,0.361303994
199,1,0.05,0.0,0.35,75.56,40.0,0.113559648,1,0.128767123,0.843751563
200,1,0.1,0.0,0.35,75.56,50.0,0.113559648,4,0.128767123,0.621097539
201,1,0.1,0.0,0.05,75.56,55.0,0.113559648,2,0.128767123,0.546879531
202,1,0.15,0.0,0.05,76.18,60.0,0.093047816,2,0.115068493,0.4462946
203,1,0.2,0.05,0.35,75.56,65.0,0.113559648,1,0.128767123,0.333502759
204,1,0.4,0.25,0.4,75.42,70.0,0.092543548,168,0.104109589,0.241706802
205,1,1.15,0.95,0.95,75.63,75.0,0.096454722,1,0.093150685,0.15186395
207,1,0.1,0.0,0.05,75.56,35.0,0.121879785,5,0.378082192,0.558598164
208,1,0.2,0.0,0.25,75.56,50.0,0.121879785,1,0.378082192,0.393560752
209,1,0.3,0.1,0.6,75.56,55.0,0.121879785,2,0.378082192,0.341315181
210,1,0.4,0.25,0.55,75.56,60.0,0.121879785,8,0.378082192,0.281257188
211,1,0.6,0.5,0.55,76.18,65.0,0.111720016,1,0.3643835620000001,0.227546787
212,1,1.35,1.1,2.15,75.56,70.0,0.121879785,1,0.378082192,0.202156416
213,1,2.9,2.65,4.76,75.56,75.0,0.121879785,10,0.378082192,0.178963289
215,1,0.5,0.3,0.4,75.56,55.0,0.12741264800000002,14,0.62739726,0.290534438
216,1,0.7,0.5,0.65,75.55,60.0,0.120696133,2,0.619178082,0.247566118
217,1,1.15,0.95,1.1,75.55,65.0,0.120696133,2,0.619178082,0.215461947
218,1,2.15,1.95,2.2,75.56,70.0,0.12741264800000002,8,0.62739726,0.195808823
219,1,3.7,3.4,3.61,75.76,75.0,0.120304981,34,0.6082191779999999,0.170845694
221,1,0.19,0.0,0.03,80.17,67.5,0.083239908,8,0.02739726,0.867188828
222,1,0.33,0.0,0.17,78.49,68.0,0.138947651,2,0.052054795,0.931641309
223,1,0.03,0.0,0.02,81.45,68.5,0.07260219,12,0.01369863,0.617191328
224,1,0.12,0.02,0.04,80.17,70.0,0.083239908,106,0.02739726,0.687503125
225,1,0.07,0.03,0.03,80.17,70.5,0.083239908,1,0.02739726,0.62500375
226,1,0.12,0.03,0.03,80.17,71.0,0.083239908,4,0.02739726,0.6406285939999999
227,1,0.12,0.03,0.03,80.17,71.5,0.083239908,5,0.02739726,0.613285117
228,1,0.11,0.0,0.01,81.45,72.0,0.07260219,26,0.016438356,0.554691953
229,1,0.12,0.0,0.06,80.59,72.5,0.08206855099999999,3,0.024657534,0.535160898
230,1,0.11,0.0,0.02,81.45,73.0,0.07260219,28,0.016438356,0.501958105
231,1,0.11,0.0,0.06,80.7,73.5,0.053652912,50,0.019178082,0.54297332
232,1,0.03,0.0,0.08,80.59,74.0,0.08206855099999999,5,0.024657534,0.406255938
233,1,0.11,0.07,0.07,80.17,74.5,0.083239908,5,0.02739726,0.484380156
234,1,0.11,0.08,0.08,80.17,75.0,0.083239908,11,0.02739726,0.456060127
235,1,0.04,0.01,0.09,80.7,75.5,0.053652912,1,0.019178082,0.349615879
236,1,0.12,0.1,0.12,80.17,76.0,0.083239908,1,0.02739726,0.406255938
237,1,0.05,0.02,0.12,80.59,76.5,0.08206855099999999,12,0.024657534,0.312506875
238,1,0.05,0.03,0.06,81.45,77.0,0.07260219,11,0.016438356,0.285163398
239,1,0.06,0.04,0.18,80.7,77.5,0.053652912,12,0.019178082,0.267585449
240,1,0.07,0.05,0.24,80.7,78.0,0.053652912,13,0.019178082,0.248054395
241,1,0.11,0.06,0.16,81.45,78.5,0.07260219,40,0.016438356,0.246101289
242,1,0.12,0.09,0.11,81.45,79.0,0.07260219,20,0.016438356,0.220710918
243,1,0.14,0.12,0.18,81.45,79.5,0.07260219,45,0.016438356,0.197273652
244,1,0.19,0.16,0.22,81.45,80.0,0.07260219,195,0.016438356,0.181648809
245,1,0.28,0.27,0.32,81.45,80.5,0.07260219,44,0.016438356,0.17090672899999998
246,1,0.43,0.39,0.45,81.45,81.0,0.07260219,97,0.016438356,0.166023965
251,1,0.23,0.0,0.15,78.49,65.0,0.131832601,2,0.071232877,0.675784492
252,1,0.09,0.0,0.15,80.17,66.5,0.109215234,5,0.046575342,0.531254688
253,1,0.26,0.0,0.1,78.49,67.0,0.131832601,3,0.071232877,0.613285117
254,1,0.07,0.0,0.05,80.7,67.5,0.06830130200000001,28,0.038356164,0.531254688
255,1,0.23,0.0,0.09,78.49,68.0,0.131832601,4,0.071232877,0.56055127
256,1,0.02,0.0,0.04,81.45,68.5,0.078233263,10,0.032876712,0.414068359
257,1,0.05,0.0,0.07,81.45,69.0,0.078233263,10,0.032876712,0.453130469
258,1,0.03,0.0,0.03,81.45,69.5,0.078233263,2,0.032876712,0.406255938
259,1,0.03,0.01,0.07,80.7,70.0,0.06830130200000001,1,0.038356164,0.388677988
260,1,0.03,0.0,0.04,81.45,70.5,0.078233263,5,0.032876712,0.371100039
261,1,0.12,0.01,0.03,81.45,71.0,0.078233263,12,0.035616438,0.451177363
262,1,0.04,0.01,0.03,81.45,71.5,0.078233263,19,0.032876712,0.355475195
263,1,0.04,0.01,0.03,81.45,72.0,0.078233263,5,0.035616438,0.339850352
264,1,0.12,0.02,0.04,81.45,72.5,0.078233263,12,0.035616438,0.394537305
265,1,0.05,0.02,0.11,80.7,73.0,0.06830130200000001,8,0.038356164,0.318366191
266,1,0.11,0.02,0.12,81.45,73.5,0.078233263,2,0.032876712,0.350592432
267,1,0.06,0.03,0.14,80.7,74.0,0.06830130200000001,5,0.038356164,0.29492892600000004
268,1,0.06,0.03,0.06,81.45,74.5,0.078233263,1,0.035616438,0.277350977
269,1,0.08,0.04,0.07,81.45,75.0,0.078233263,5,0.035616438,0.275397871
270,1,0.09,0.04,0.12,80.7,75.5,0.06830130200000001,4,0.038356164,0.263679238
271,1,0.1,0.05,0.1,81.45,76.0,0.078233263,7,0.035616438,0.250984053
272,1,0.12,0.07,0.24,80.7,76.5,0.06830130200000001,3,0.038356164,0.242195078
273,1,0.13,0.09,0.29,80.7,77.0,0.06830130200000001,15,0.038356164,0.227546787
274,1,0.16,0.12,0.18,81.45,77.5,0.078233263,10,0.035616438,0.219734365
275,1,0.2,0.15,0.22,81.45,78.0,0.078233263,31,0.035616438,0.211921943
276,1,0.25,0.19,0.25,81.45,78.5,0.078233263,12,0.035616438,0.204597798
277,1,0.31,0.26,0.34,81.45,79.0,0.078233263,27,0.035616438,0.1962971
278,1,0.4,0.33,0.44,81.45,79.5,0.078233263,10,0.035616438,0.191414336
279,1,0.48,0.41,0.52,81.45,80.0,0.078233263,8,0.035616438,0.179695703
280,1,0.65,0.56,0.68,81.45,80.5,0.078233263,30,0.035616438,0.180672256
281,1,0.82,0.73,0.89,81.45,81.0,0.078233263,35,0.035616438,0.175301216
288,1,0.36,0.0,0.04,81.45,69.5,0.093238872,2,0.052054795,0.514653291
289,1,0.19,0.0,0.07,81.45,71.5,0.093238872,26,0.052054795,0.378912461
290,1,0.21,0.0,0.09,81.45,72.5,0.093238872,28,0.052054795,0.354986919
291,1,0.16,0.08,0.13,80.31,73.0,0.127359732,1,0.073972603,0.317877915
292,1,0.23,0.11,0.28,78.85,74.0,0.126632957,5,0.08219178099999999,0.312995151
293,1,0.24,0.14,0.28,78.97,74.5,0.126754208,4,0.08493150699999999,0.299811689
294,1,0.26,0.17,0.2,80.31,75.0,0.127359732,2,0.073972603,0.289069609
295,1,0.3,0.21,0.39,80.31,75.5,0.127359732,4,0.071232877,0.283210293
296,1,0.39,0.1,0.16,81.45,76.0,0.093238872,12,0.054794521,0.288581333
297,1,0.45,0.29,0.36,79.81,76.5,0.132894895,10,0.079452055,0.283210293
298,1,0.21,0.16,0.29,80.59,77.0,0.090793065,2,0.063013699,0.206062627
299,1,0.25,0.2,0.23,81.45,77.5,0.093238872,5,0.054794521,0.199226758
300,1,0.31,0.26,0.31,81.45,78.0,0.093238872,10,0.054794521,0.194832271
301,1,0.76,0.65,0.6,80.31,78.5,0.127359732,4,0.071232877,0.25806406
302,1,0.92,0.8,0.81,80.17,79.0,0.090320687,20,0.065753425,0.260261304
303,1,0.61,0.51,0.94,80.7,79.5,0.094712815,1,0.057534247,0.187019849
304,1,0.74,0.57,0.78,81.45,80.0,0.093238872,4,0.054794521,0.182625361
305,1,0.92,0.79,0.95,81.45,80.5,0.093238872,4,0.052054795,0.182137085
306,1,1.1,1.01,1.11,81.45,81.0,0.093238872,261,0.052054795,0.177498459
307,1,0.28,0.0,0.05,81.45,65.0,0.087726071,3,0.071232877,0.546879531
308,1,0.17,0.09,0.15,80.17,72.5,0.12564952599999998,25,0.08493150699999999,0.289069609
309,1,0.33,0.19,0.31,80.31,75.0,0.124380742,8,0.090410959,0.26465579100000003
310,1,0.41,0.24,0.38,80.31,75.5,0.124380742,10,0.090410959,0.26660889600000004
311,1,0.27,0.14,0.32,81.45,76.0,0.087726071,1,0.073972603,0.219734365
312,1,0.32,0.19,0.28,81.45,76.5,0.087726071,12,0.073972603,0.215828154
313,1,0.37,0.24,0.48,80.7,77.0,0.082556062,20,0.07671232900000001,0.210457114
314,1,0.67,0.58,0.64,80.17,77.5,0.12564952599999998,1,0.08493150699999999,0.245124736
315,1,0.5,0.34,0.55,80.59,78.0,0.121812254,3,0.08219178099999999,0.199715034
316,1,0.59,0.44,0.59,81.45,78.5,0.087726071,24,0.073972603,0.195808823
317,1,0.81,0.63,0.8,81.45,79.5,0.087726071,2,0.071232877,0.18677571
318,1,1.03,0.69,1.32,80.59,80.0,0.121812254,1,0.08219178099999999,0.192635027
319,1,1.14,0.96,1.14,81.45,80.5,0.087726071,1,0.071232877,0.182137085
320,1,1.34,1.16,1.61,81.45,81.0,0.087726071,1,0.071232877,0.179695703
321,1,0.02,0.0,0.01,80.7,37.5,0.11784338,2,0.095890411,0.906250938
322,1,0.04,0.0,0.16,78.49,42.5,0.200107828,5,0.128767123,0.828126719
323,1,0.04,0.0,0.04,78.49,45.0,0.200107828,6,0.128767123,0.757814922
324,1,0.03,0.0,0.01,78.49,47.5,0.200107828,50,0.128767123,0.6718782809999999
325,1,0.02,0.0,0.01,78.49,50.0,0.200107828,25,0.128767123,0.593754063
326,1,0.03,0.01,0.01,78.49,55.0,0.200107828,4,0.128767123,0.519536055
327,1,0.04,0.0,0.04,80.7,60.0,0.11784338,1,0.095890411,0.451177363
328,1,0.05,0.0,0.04,80.7,62.5,0.11784338,25,0.095890411,0.410162148
329,1,0.1,0.04,0.07,79.95,65.0,0.12315622,3,0.115068493,0.398443516
330,1,0.1,0.06,0.1,80.84,67.5,0.120088061,30,0.098630137,0.340826904
331,1,0.14,0.1,0.12,81.45,70.0,0.116803111,39,0.093150685,0.3037179
332,1,0.22,0.17,0.19,81.45,72.5,0.116803111,6,0.093150685,0.272468213
333,1,0.34,0.31,0.34,81.45,75.0,0.116803111,108,0.093150685,0.236824038
334,1,0.67,0.61,0.65,81.45,77.5,0.116803111,27,0.093150685,0.217537122
335,1,1.32,1.24,1.28,81.45,80.0,0.116803111,302,0.093150685,0.202400554
340,1,0.13,0.02,0.12,81.45,65.0,0.11635,100,0.109589041,0.378912461
341,1,0.24,0.13,0.21,81.45,70.0,0.11635,1,0.109589041,0.310065493
342,1,0.47,0.25,0.62,81.45,74.5,0.11635,12,0.109589041,0.251472329
343,1,0.53,0.37,0.5,81.45,75.0,0.11635,1,0.112328767,0.248054395
344,1,0.65,0.56,0.82,81.45,76.0,0.11635,1,0.109589041,0.238533005
345,1,1.22,1.06,1.12,80.17,77.0,0.114988487,1,0.123287671,0.27954822
346,1,0.89,0.75,1.18,81.45,77.5,0.11635,1,0.109589041,0.224617129
347,1,1.14,0.99,1.61,80.84,78.5,0.115638923,1,0.117808219,0.219978503
348,1,1.3,1.11,1.56,81.45,79.0,0.11635,10,0.109589041,0.219246089
349,1,1.42,1.29,1.76,81.45,79.5,0.11635,2,0.109589041,0.212898496
350,1,1.66,1.49,1.6,81.45,80.0,0.11635,19,0.112328767,0.217048845
351,1,1.85,1.66,1.9,81.45,80.5,0.11635,4,0.109589041,0.214607463
352,1,2.01,1.9,1.9,81.45,81.0,0.11635,24,0.109589041,0.207771594
353,1,0.07,0.0,0.12,78.49,42.5,0.155982749,17,0.378082192,0.494145684
354,1,0.07,0.02,0.15,78.49,45.0,0.155982749,20,0.378082192,0.455083574
355,1,0.09,0.0,0.05,78.97,47.5,0.155460247,5,0.37260274,0.431646309
356,1,0.13,0.07,0.11,78.49,50.0,0.155982749,20,0.378082192,0.41797457
357,1,0.16,0.1,0.13,81.45,55.0,0.154287318,10,0.342465753,0.357428301
358,1,0.26,0.19,0.23,81.45,60.0,0.154287318,15,0.342465753,0.316413086
359,1,0.41,0.36,0.37,81.45,65.0,0.154287318,25,0.342465753,0.273444766
360,1,0.54,0.49,0.5,81.45,67.5,0.154287318,6,0.342465753,0.254890264
361,1,0.71,0.69,0.81,80.7,70.0,0.152996046,1449,0.345205479,0.236091624
362,1,1.01,0.97,1.0,81.45,72.5,0.154287318,23,0.342465753,0.223030231
363,1,1.47,1.4,1.42,81.45,75.0,0.154287318,23,0.342465753,0.213020565
364,1,2.12,2.03,2.1,81.45,77.5,0.154287318,28,0.342465753,0.204231591
365,1,3.05,2.89,3.0,81.45,80.0,0.154287318,41,0.342465753,0.198860551
370,1,0.06,0.01,0.03,80.7,27.5,0.150444617,3,0.594520548,0.5566450589999999
371,1,0.06,0.0,0.03,78.49,30.0,0.189853437,2,0.62739726,0.503911211
372,1,0.08,0.01,0.05,78.49,32.5,0.189853437,1,0.62739726,0.525395371
373,1,0.1,0.02,0.05,78.49,35.0,0.189853437,205,0.62739726,0.500981553
374,1,0.13,0.03,0.14,78.49,37.5,0.189853437,1,0.62739726,0.481450498
375,1,0.16,0.08,0.1,78.49,40.0,0.189853437,3,0.62739726,0.458989785
376,1,0.19,0.09,0.16,78.85,42.5,0.155627003,5,0.619178082,0.43555252
